Time: 00:11 - Junction1: 8 cars through Rj2to1, 0 waiting
Time: 00:20 - Junction1: 7 cars through Rj2to1, 0 waiting
Time: 00:29 - Junction1: 7 cars through Rj2to1, 0 waiting
Time: 00:37 - Junction1: 6 cars through Rj2to1, 0 waiting
Time: 00:46 - Junction1: 1 cars through Rj2to1, 0 waiting
Time: 00:55 - Junction1: 5 cars through Rj2to1, 0 waiting
Time: 01:04 - Junction1: 13 cars through Rj2to1, 0 waiting
Time: 01:12 - Junction1: 2 cars through Rj2to1, 0 waiting
Time: 01:21 - Junction1: 7 cars through Rj2to1, 0 waiting
Time: 01:30 - Junction1: 7 cars through Rj2to1, 0 waiting
Time: 01:39 - Junction1: 2 cars through Rj2to1, 0 waiting
Time: 01:47 - Junction1: 4 cars through Rj2to1, 0 waiting
Time: 01:56 - Junction1: 2 cars through Rj2to1, 0 waiting
Time: 02:05 - Junction1: 10 cars through Rj2to1, 0 waiting
Time: 02:14 - Junction1: 9 cars through Rj2to1, 0 waiting
Time: 02:22 - Junction1: 3 cars through Rj2to1, 0 waiting
Time: 02:31 - Junction1: 1 cars through Rj2to1, 0 waiting
Time: 02:40 - Junction1: 9 cars through Rj2to1, 0 waiting
Time: 02:49 - Junction1: 3 cars through Rj2to1, 0 waiting
Time: 02:57 - Junction1: 1 cars through Rj2to1, 0 waiting
Time: 03:06 - Junction1: 1 cars through Rj2to1, 0 waiting
Time: 03:15 - Junction1: 7 cars through Rj2to1, 0 waiting
Time: 03:24 - Junction1: 5 cars through Rj2to1, 0 waiting
Time: 03:33 - Junction1: 5 cars through Rj2to1, 2 waiting
Time: 03:41 - Junction1: 8 cars through Rj2to1, 0 waiting
Time: 03:50 - Junction1: 3 cars through Rj2to1, 0 waiting
Time: 03:59 - Junction1: 6 cars through Rj2to1, 0 waiting
Time: 04:08 - Junction1: 2 cars through Rj2to1, 0 waiting
Time: 04:16 - Junction1: 3 cars through Rj2to1, 0 waiting
Time: 04:25 - Junction1: 4 cars through Rj2to1, 0 waiting
Time: 04:31 - Junction1: 2 cars through fromStation, 0 waiting
Time: 04:34 - Junction1: 3 cars through Rj2to1, 0 waiting
Time: 04:40 - Junction1: 1 cars through fromStation, 0 waiting
Time: 04:43 - Junction1: 8 cars through Rj2to1, 0 waiting
Time: 04:49 - Junction1: 7 cars through fromStation, 0 waiting
Time: 04:51 - Junction1: 2 cars through Rj2to1, 0 waiting
Time: 04:57 - Junction1: 6 cars through fromStation, 0 waiting
Time: 59:59 - Junction1: 6 cars through Rj2to1, 0 waiting

