Time: 00:06 - Junction3: 6 cars through Rj2to3, 0 waiting
Time: 00:09 - Junction3: 1 cars through Rj4to3, 0 waiting
Time: 00:12 - Junction3: 12 cars through east, 0 waiting
Time: 00:15 - Junction3: 9 cars through Rj2to3, 0 waiting
Time: 00:18 - Junction3: 6 cars through Rj4to3, 0 waiting
Time: 00:20 - Junction3: 9 cars through east, 0 waiting
Time: 00:23 - Junction3: 1 cars through Rj2to3, 0 waiting
Time: 00:26 - Junction3: 7 cars through Rj4to3, 0 waiting
Time: 00:29 - Junction3: 9 cars through east, 0 waiting
Time: 00:32 - Junction3: 9 cars through Rj2to3, 1 waiting
Time: 00:35 - Junction3: 8 cars through Rj4to3, 0 waiting
Time: 00:38 - Junction3: 1 cars through east, 7 waiting
Time: 00:41 - Junction3: 3 cars through Rj2to3, 7 waiting
Time: 00:44 - Junction3: 6 cars through Rj4to3, 0 waiting
Time: 00:50 - Junction3: 3 cars through Rj2to3, 7 waiting
Time: 00:53 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 00:56 - Junction3: 1 cars through east, 23 waiting
Time: 00:59 - Junction3: 2 cars through Rj2to3, 6 waiting
Time: 01:02 - Junction3: 8 cars through Rj4to3, 0 waiting
Time: 01:05 - Junction3: 2 cars through east, 28 waiting
Time: 01:08 - Junction3: 3 cars through Rj2to3, 7 waiting
Time: 01:11 - Junction3: 9 cars through Rj4to3, 1 waiting
Time: 01:14 - Junction3: 2 cars through east, 29 waiting
Time: 01:17 - Junction3: 4 cars through Rj2to3, 6 waiting
Time: 01:19 - Junction3: 6 cars through Rj4to3, 0 waiting
Time: 01:22 - Junction3: 8 cars through east, 24 waiting
Time: 01:25 - Junction3: 5 cars through Rj2to3, 9 waiting
Time: 01:28 - Junction3: 9 cars through Rj4to3, 1 waiting
Time: 01:32 - Junction3: 2 cars through east, 28 waiting
Time: 01:34 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 01:37 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 01:40 - Junction3: 1 cars through east, 29 waiting
Time: 01:43 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 01:46 - Junction3: 2 cars through Rj4to3, 0 waiting
Time: 01:49 - Junction3: 4 cars through east, 27 waiting
Time: 01:52 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 01:55 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 01:58 - Junction3: 5 cars through east, 25 waiting
Time: 02:01 - Junction3: 3 cars through Rj2to3, 10 waiting
Time: 02:04 - Junction3: 9 cars through Rj4to3, 0 waiting
Time: 02:07 - Junction3: 3 cars through east, 29 waiting
Time: 02:10 - Junction3: 3 cars through Rj2to3, 8 waiting
Time: 02:13 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 02:16 - Junction3: 8 cars through east, 25 waiting
Time: 02:19 - Junction3: 2 cars through Rj2to3, 8 waiting
